category,item,variety,date,price,unit,year,month,day
vegetable,onion,bulb_red,2022-02-25,0.61,kg,2022,2,25
vegetable,swede,swede,2022-02-25,0.24,kg,2022,2,25
vegetable,turnip,turnip,2022-02-25,1.05,kg,2022,2,25
vegetable,parsnips,all_varieties,2022-02-25,1.04,kg,2022,2,25
vegetable,rhubarb,forced,2022-02-25,5.22,kg,2022,2,25
vegetable,rhubarb,outdoor,2022-02-25,5.51,kg,2022,2,25
fruit,apples,bramleys_seedling,2022-02-18,1.97,kg,2022,2,18
fruit,apples,coxs_orange_group,2022-02-18,1.33,kg,2022,2,18
fruit,apples,egremont_russet,2022-02-18,1.17,kg,2022,2,18
fruit,apples,braeburn,2022-02-18,1.08,kg,2022,2,18
fruit,apples,gala,2022-02-18,1.05,kg,2022,2,18
fruit,apples,other_late_season,2022-02-18,1.59,kg,2022,2,18
fruit,pears,conference,2022-02-18,1.03,kg,2022,2,18
fruit,pears,doyenne_du_comice,2022-02-18,1.1,kg,2022,2,18
vegetable,beetroot,beetroot,2022-02-18,0.49,kg,2022,2,18
vegetable,brussels_sprouts,brussels_sprouts,2022-02-18,0.83,kg,2022,2,18
vegetable,pak_choi,pak_choi,2022-02-18,3.74,kg,2022,2,18
vegetable,curly_kale,curly_kale,2022-02-18,3.24,kg,2022,2,18
vegetable,cabbage,red,2022-02-18,0.6,kg,2022,2,18
vegetable,cabbage,savoy,2022-02-18,0.49,head,2022,2,18
vegetable,spring_greens,prepacked,2022-02-18,1.04,kg,2022,2,18
vegetable,cabbage,white,2022-02-18,0.41,kg,2022,2,18
vegetable,cabbage,round_green_other,2022-02-18,0.46,head,2022,2,18
vegetable,capsicum,red,2022-02-18,0.9,kg,2022,2,18
vegetable,carrots,topped_washed,2022-02-18,0.45,kg,2022,2,18
vegetable,cauliflower,all,2022-02-18,0.74,head,2022,2,18
vegetable,celeriac,celeriac,2022-02-18,0.76,kg,2022,2,18
vegetable,leeks,trimmed,2022-02-18,1.18,kg,2022,2,18
vegetable,lettuce,butterhead_indoor,2022-02-18,0.47,head,2022,2,18
vegetable,lettuce,little_gem,2022-02-18,0.8,twin,2022,2,18
vegetable,onion,bulb_brown,2022-02-18,0.4,kg,2022,2,18
vegetable,onion,bulb_red,2022-02-18,0.63,kg,2022,2,18
vegetable,swede,swede,2022-02-18,0.24,kg,2022,2,18
vegetable,turnip,turnip,2022-02-18,1.02,kg,2022,2,18
vegetable,parsnips,all_varieties,2022-02-18,1.04,kg,2022,2,18
vegetable,rhubarb,forced,2022-02-18,5.02,kg,2022,2,18
fruit,apples,bramleys_seedling,2022-02-11,1.97,kg,2022,2,11
fruit,apples,coxs_orange_group,2022-02-11,1.28,kg,2022,2,11
fruit,apples,egremont_russet,2022-02-11,1.14,kg,2022,2,11
fruit,apples,braeburn,2022-02-11,1.04,kg,2022,2,11
fruit,apples,gala,2022-02-11,1.05,kg,2022,2,11
fruit,apples,other_late_season,2022-02-11,1.29,kg,2022,2,11
fruit,pears,conference,2022-02-11,1.12,kg,2022,2,11
fruit,pears,doyenne_du_comice,2022-02-11,1.09,kg,2022,2,11
vegetable,beetroot,beetroot,2022-02-11,0.5,kg,2022,2,11
vegetable,brussels_sprouts,brussels_sprouts,2022-02-11,0.84,kg,2022,2,11
vegetable,pak_choi,pak_choi,2022-02-11,3.38,kg,2022,2,11
vegetable,curly_kale,curly_kale,2022-02-11,3.45,kg,2022,2,11
vegetable,cabbage,red,2022-02-11,0.61,kg,2022,2,11
vegetable,cabbage,savoy,2022-02-11,0.48,head,2022,2,11
vegetable,spring_greens,prepacked,2022-02-11,1.01,kg,2022,2,11
vegetable,cabbage,white,2022-02-11,0.42,kg,2022,2,11
vegetable,cabbage,round_green_other,2022-02-11,0.47,head,2022,2,11
vegetable,carrots,topped_washed,2022-02-11,0.48,kg,2022,2,11
vegetable,cauliflower,all,2022-02-11,0.82,head,2022,2,11
vegetable,celeriac,celeriac,2022-02-11,0.69,kg,2022,2,11
vegetable,chinese_leaf,chinese_leaf,2022-02-11,0.97,kg,2022,2,11
vegetable,leeks,trimmed,2022-02-11,1.2,kg,2022,2,11
vegetable,lettuce,butterhead_indoor,2022-02-11,0.47,head,2022,2,11
vegetable,lettuce,little_gem,2022-02-11,0.8,twin,2022,2,11
vegetable,onion,bulb_brown,2022-02-11,0.46,kg,2022,2,11
vegetable,onion,bulb_red,2022-02-11,0.56,kg,2022,2,11
vegetable,swede,swede,2022-02-11,0.24,kg,2022,2,11
vegetable,turnip,turnip,2022-02-11,1.09,kg,2022,2,11
vegetable,parsnips,all_varieties,2022-02-11,1.04,kg,2022,2,11
vegetable,rhubarb,forced,2022-02-11,5.04,kg,2022,2,11
fruit,apples,bramleys_seedling,2022-02-04,1.94,kg,2022,2,4
fruit,apples,coxs_orange_group,2022-02-04,1.35,kg,2022,2,4
fruit,apples,egremont_russet,2022-02-04,1.22,kg,2022,2,4
fruit,apples,braeburn,2022-02-04,1.02,kg,2022,2,4
fruit,apples,gala,2022-02-04,1.01,kg,2022,2,4
fruit,apples,other_late_season,2022-02-04,1.23,kg,2022,2,4
fruit,pears,conference,2022-02-04,1.17,kg,2022,2,4
fruit,pears,doyenne_du_comice,2022-02-04,1.1,kg,2022,2,4
vegetable,beetroot,beetroot,2022-02-04,0.53,kg,2022,2,4
vegetable,brussels_sprouts,brussels_sprouts,2022-02-04,0.84,kg,2022,2,4
vegetable,pak_choi,pak_choi,2022-02-04,3.38,kg,2022,2,4
vegetable,curly_kale,curly_kale,2022-02-04,3.55,kg,2022,2,4
vegetable,cabbage,red,2022-02-04,0.59,kg,2022,2,4
vegetable,cabbage,savoy,2022-02-04,0.48,head,2022,2,4
vegetable,spring_greens,prepacked,2022-02-04,1.13,kg,2022,2,4
vegetable,cabbage,white,2022-02-04,0.42,kg,2022,2,4
vegetable,cabbage,round_green_other,2022-02-04,0.47,head,2022,2,4
vegetable,carrots,topped_washed,2022-02-04,0.48,kg,2022,2,4
vegetable,cauliflower,all,2022-02-04,0.9,head,2022,2,4
vegetable,celeriac,celeriac,2022-02-04,0.69,kg,2022,2,4
vegetable,chinese_leaf,chinese_leaf,2022-02-04,0.97,kg,2022,2,4
vegetable,cucumbers,cucumbers,2022-02-04,0.75,kg,2022,2,4
vegetable,leeks,trimmed,2022-02-04,1.21,kg,2022,2,4
vegetable,lettuce,butterhead_indoor,2022-02-04,0.47,head,2022,2,4
vegetable,lettuce,little_gem,2022-02-04,0.85,twin,2022,2,4
vegetable,onion,bulb_brown,2022-02-04,0.43,kg,2022,2,4
vegetable,onion,bulb_red,2022-02-04,0.56,kg,2022,2,4
vegetable,swede,swede,2022-02-04,0.24,kg,2022,2,4
vegetable,turnip,turnip,2022-02-04,1.4,kg,2022,2,4
vegetable,parsnips,all_varieties,2022-02-04,1.05,kg,2022,2,4
vegetable,rhubarb,forced,2022-02-04,4.82,kg,2022,2,4
fruit,apples,bramleys_seedling,2022-01-28,1.93,kg,2022,1,28
fruit,apples,coxs_orange_group,2022-01-28,1.2,kg,2022,1,28
fruit,apples,egremont_russet,2022-01-28,1.21,kg,2022,1,28
fruit,apples,braeburn,2022-01-28,1.03,kg,2022,1,28
fruit,apples,gala,2022-01-28,1.03,kg,2022,1,28
fruit,apples,other_late_season,2022-01-28,1.25,kg,2022,1,28
fruit,pears,conference,2022-01-28,1.17,kg,2022,1,28
fruit,pears,doyenne_du_comice,2022-01-28,1.05,kg,2022,1,28
vegetable,beetroot,beetroot,2022-01-28,0.5,kg,2022,1,28
vegetable,brussels_sprouts,brussels_sprouts,2022-01-28,0.84,kg,2022,1,28
vegetable,pak_choi,pak_choi,2022-01-28,3.0,kg,2022,1,28
vegetable,curly_kale,curly_kale,2022-01-28,3.12,kg,2022,1,28
vegetable,cabbage,red,2022-01-28,0.59,kg,2022,1,28
vegetable,cabbage,savoy,2022-01-28,0.47,head,2022,1,28
vegetable,spring_greens,prepacked,2022-01-28,1.03,kg,2022,1,28
vegetable,cabbage,white,2022-01-28,0.43,kg,2022,1,28
vegetable,cabbage,round_green_other,2022-01-28,0.45,head,2022,1,28
vegetable,carrots,topped_washed,2022-01-28,0.46,kg,2022,1,28
vegetable,cauliflower,all,2022-01-28,0.79,head,2022,1,28
vegetable,celeriac,celeriac,2022-01-28,0.69,kg,2022,1,28
vegetable,chinese_leaf,chinese_leaf,2022-01-28,0.97,kg,2022,1,28
vegetable,leeks,trimmed,2022-01-28,1.2,kg,2022,1,28
vegetable,lettuce,butterhead_indoor,2022-01-28,0.46,head,2022,1,28
vegetable,lettuce,little_gem,2022-01-28,0.78,twin,2022,1,28
vegetable,onion,bulb_brown,2022-01-28,0.42,kg,2022,1,28
vegetable,onion,bulb_red,2022-01-28,0.53,kg,2022,1,28
vegetable,swede,swede,2022-01-28,0.23,kg,2022,1,28
vegetable,turnip,turnip,2022-01-28,1.38,kg,2022,1,28
vegetable,parsnips,all_varieties,2022-01-28,1.05,kg,2022,1,28
vegetable,rhubarb,forced,2022-01-28,5.36,kg,2022,1,28
fruit,apples,bramleys_seedling,2022-01-21,2.0,kg,2022,1,21
fruit,apples,coxs_orange_group,2022-01-21,1.23,kg,2022,1,21
fruit,apples,egremont_russet,2022-01-21,1.29,kg,2022,1,21
fruit,apples,braeburn,2022-01-21,1.02,kg,2022,1,21
fruit,apples,gala,2022-01-21,1.04,kg,2022,1,21
fruit,apples,other_late_season,2022-01-21,1.83,kg,2022,1,21
fruit,pears,conference,2022-01-21,1.19,kg,2022,1,21
fruit,pears,doyenne_du_comice,2022-01-21,1.08,kg,2022,1,21
vegetable,beetroot,beetroot,2022-01-21,0.52,kg,2022,1,21
vegetable,brussels_sprouts,brussels_sprouts,2022-01-21,0.85,kg,2022,1,21
vegetable,pak_choi,pak_choi,2022-01-21,3.34,kg,2022,1,21
vegetable,curly_kale,curly_kale,2022-01-21,3.03,kg,2022,1,21
vegetable,cabbage,red,2022-01-21,0.55,kg,2022,1,21
vegetable,cabbage,savoy,2022-01-21,0.47,head,2022,1,21
vegetable,spring_greens,prepacked,2022-01-21,1.02,kg,2022,1,21
vegetable,cabbage,white,2022-01-21,0.43,kg,2022,1,21
vegetable,cabbage,round_green_other,2022-01-21,0.47,head,2022,1,21
vegetable,carrots,topped_washed,2022-01-21,0.46,kg,2022,1,21
vegetable,cauliflower,all,2022-01-21,0.69,head,2022,1,21
vegetable,celeriac,celeriac,2022-01-21,0.69,kg,2022,1,21
vegetable,chinese_leaf,chinese_leaf,2022-01-21,0.97,kg,2022,1,21
vegetable,leeks,trimmed,2022-01-21,1.13,kg,2022,1,21
vegetable,lettuce,butterhead_indoor,2022-01-21,0.47,head,2022,1,21
vegetable,lettuce,little_gem,2022-01-21,0.79,twin,2022,1,21
vegetable,onion,bulb_brown,2022-01-21,0.42,kg,2022,1,21
vegetable,onion,bulb_red,2022-01-21,0.53,kg,2022,1,21
vegetable,swede,swede,2022-01-21,0.23,kg,2022,1,21
vegetable,turnip,turnip,2022-01-21,1.82,kg,2022,1,21
vegetable,parsnips,all_varieties,2022-01-21,1.04,kg,2022,1,21
vegetable,rhubarb,forced,2022-01-21,5.68,kg,2022,1,21
fruit,apples,bramleys_seedling,2022-01-14,1.91,kg,2022,1,14
fruit,apples,coxs_orange_group,2022-01-14,1.18,kg,2022,1,14
fruit,apples,egremont_russet,2022-01-14,1.13,kg,2022,1,14
fruit,apples,braeburn,2022-01-14,0.96,kg,2022,1,14
fruit,apples,gala,2022-01-14,1.0,kg,2022,1,14
fruit,apples,other_late_season,2022-01-14,1.87,kg,2022,1,14
fruit,pears,conference,2022-01-14,1.18,kg,2022,1,14
fruit,pears,doyenne_du_comice,2022-01-14,1.07,kg,2022,1,14
vegetable,beetroot,beetroot,2022-01-14,0.52,kg,2022,1,14
vegetable,brussels_sprouts,brussels_sprouts,2022-01-14,0.84,kg,2022,1,14
vegetable,pak_choi,pak_choi,2022-01-14,3.34,kg,2022,1,14
vegetable,curly_kale,curly_kale,2022-01-14,3.37,kg,2022,1,14
vegetable,cabbage,red,2022-01-14,0.57,kg,2022,1,14
vegetable,cabbage,savoy,2022-01-14,0.47,head,2022,1,14
vegetable,spring_greens,prepacked,2022-01-14,0.94,kg,2022,1,14
vegetable,cabbage,white,2022-01-14,0.44,kg,2022,1,14
vegetable,cabbage,round_green_other,2022-01-14,0.48,head,2022,1,14
vegetable,carrots,topped_washed,2022-01-14,0.48,kg,2022,1,14
vegetable,cauliflower,all,2022-01-14,0.68,head,2022,1,14
vegetable,celeriac,celeriac,2022-01-14,0.71,kg,2022,1,14
vegetable,chinese_leaf,chinese_leaf,2022-01-14,0.97,kg,2022,1,14
vegetable,leeks,trimmed,2022-01-14,1.13,kg,2022,1,14
vegetable,lettuce,butterhead_indoor,2022-01-14,0.46,head,2022,1,14
vegetable,lettuce,little_gem,2022-01-14,0.81,twin,2022,1,14
vegetable,onion,bulb_brown,2022-01-14,0.42,kg,2022,1,14
vegetable,onion,bulb_red,2022-01-14,0.6,kg,2022,1,14
vegetable,swede,swede,2022-01-14,0.24,kg,2022,1,14
vegetable,turnip,turnip,2022-01-14,1.86,kg,2022,1,14
vegetable,parsnips,all_varieties,2022-01-14,1.07,kg,2022,1,14
vegetable,rhubarb,forced,2022-01-14,5.48,kg,2022,1,14
fruit,apples,bramleys_seedling,2022-01-07,1.9,kg,2022,1,7
fruit,apples,coxs_orange_group,2022-01-07,1.07,kg,2022,1,7
fruit,apples,egremont_russet,2022-01-07,0.96,kg,2022,1,7
fruit,apples,braeburn,2022-01-07,0.97,kg,2022,1,7
fruit,apples,gala,2022-01-07,0.95,kg,2022,1,7
fruit,pears,conference,2022-01-07,1.3,kg,2022,1,7
fruit,pears,doyenne_du_comice,2022-01-07,0.99,kg,2022,1,7
vegetable,beetroot,beetroot,2022-01-07,0.54,kg,2022,1,7
vegetable,brussels_sprouts,brussels_sprouts,2022-01-07,0.87,kg,2022,1,7
vegetable,pak_choi,pak_choi,2022-01-07,3.25,kg,2022,1,7
vegetable,curly_kale,curly_kale,2022-01-07,3.4,kg,2022,1,7
vegetable,cabbage,red,2022-01-07,0.58,kg,2022,1,7
